ad_id,region,percentage
408227953449054,Newfoundland and Labrador,0.000742
408227953449054,Quebec,0.99885
408227953449054,Nunavut,0.000408
408227953449054,Manitoba,0
408227953449054,Saskatchewan,0
408227953449054,Prince Edward Island,0
408227953449054,New Brunswick,0
408227953449054,Ontario,0
408227953449054,Alberta,0
408227953449054,Northwest Territories,0
408227953449054,Nova Scotia,0
408227953449054,Yukon,0
408227953449054,British Columbia,0
2508107776086370,Newfoundland and Labrador,0.000423
2508107776086370,Quebec,0.999538
2508107776086370,Nunavut,3.9E-5
2508107776086370,Manitoba,0
2508107776086370,Saskatchewan,0
2508107776086370,Prince Edward Island,0
2508107776086370,New Brunswick,0
2508107776086370,Ontario,0
2508107776086370,Alberta,0
2508107776086370,Northwest Territories,0
2508107776086370,Nova Scotia,0
2508107776086370,Yukon,0
2508107776086370,British Columbia,0
526026944900531,Ontario,1
526026944900531,Manitoba,0
526026944900531,Saskatchewan,0
526026944900531,Prince Edward Island,0
526026944900531,New Brunswick,0
526026944900531,Alberta,0
526026944900531,Newfoundland and Labrador,0
526026944900531,Northwest Territories,0
526026944900531,Nova Scotia,0
526026944900531,Yukon,0
526026944900531,British Columbia,0
526026944900531,Quebec,0
526026944900531,Nunavut,0
1005294283147677,British Columbia,0.055471
1005294283147677,Manitoba,0.114406
1005294283147677,New Brunswick,0.076649
1005294283147677,Ontario,0.753474
1005294283147677,Saskatchewan,0
1005294283147677,Prince Edward Island,0
1005294283147677,Alberta,0
1005294283147677,Northwest Territories,0
1005294283147677,Nova Scotia,0
1005294283147677,Yukon,0
1005294283147677,Newfoundland and Labrador,0
1005294283147677,Quebec,0
1005294283147677,Nunavut,0
568297073998616,Alberta,0.173389
568297073998616,British Columbia,0.134311
568297073998616,Manitoba,0.044151
568297073998616,New Brunswick,0.057594
568297073998616,Nova Scotia,0.079446
568297073998616,Ontario,0.439842
568297073998616,Prince Edward Island,0.000599
568297073998616,Saskatchewan,0.062225
568297073998616,Yukon,0.004727
568297073998616,Nunavut,0.003704
568297073998616,Quebec,1.3E-5
568297073998616,Newfoundland and Labrador,0
568297073998616,Northwest Territories,0
643931626014546,Alberta,0.150903
643931626014546,British Columbia,0.158295
643931626014546,Manitoba,0.045439
643931626014546,Nova Scotia,0.100879
643931626014546,Ontario,0.401089
643931626014546,Saskatchewan,0.069635
643931626014546,Yukon,0.006055
643931626014546,New Brunswick,0.063878
643931626014546,Prince Edward Island,0.00079
643931626014546,Quebec,6.0E-6
643931626014546,Nunavut,0.003031
643931626014546,Newfoundland and Labrador,0
643931626014546,Northwest Territories,0
779193862539728,Alberta,0.000226
779193862539728,British Columbia,0.999774
779193862539728,Manitoba,0
779193862539728,Saskatchewan,0
779193862539728,Prince Edward Island,0
779193862539728,New Brunswick,0
779193862539728,Ontario,0
779193862539728,Newfoundland and Labrador,0
779193862539728,Northwest Territories,0
779193862539728,Nova Scotia,0
779193862539728,Yukon,0
779193862539728,Quebec,0
779193862539728,Nunavut,0
2358767511107168,British Columbia,1
2358767511107168,Manitoba,0
2358767511107168,Saskatchewan,0
2358767511107168,Prince Edward Island,0
2358767511107168,New Brunswick,0
2358767511107168,Ontario,0
2358767511107168,Alberta,0
2358767511107168,Newfoundland and Labrador,0
2358767511107168,Northwest Territories,0
2358767511107168,Nova Scotia,0
2358767511107168,Yukon,0
2358767511107168,Quebec,0
2358767511107168,Nunavut,0
449068419150505,British Columbia,1
449068419150505,Manitoba,0
449068419150505,Saskatchewan,0
449068419150505,Prince Edward Island,0
449068419150505,New Brunswick,0
449068419150505,Ontario,0
449068419150505,Alberta,0
449068419150505,Newfoundland and Labrador,0
449068419150505,Northwest Territories,0
449068419150505,Nova Scotia,0
449068419150505,Yukon,0
449068419150505,Quebec,0
449068419150505,Nunavut,0
663783447437604,Alberta,0.496518
663783447437604,Manitoba,0.268741
663783447437604,Saskatchewan,0.234741
663783447437604,Prince Edward Island,0
663783447437604,New Brunswick,0
663783447437604,British Columbia,0
663783447437604,Ontario,0
663783447437604,Northwest Territories,0
663783447437604,Nova Scotia,0
663783447437604,Yukon,0
663783447437604,Newfoundland and Labrador,0
663783447437604,Quebec,0
663783447437604,Nunavut,0
751725678581441,British Columbia,1
751725678581441,Manitoba,0
751725678581441,Saskatchewan,0
751725678581441,Prince Edward Island,0
751725678581441,New Brunswick,0
751725678581441,Ontario,0
751725678581441,Alberta,0
751725678581441,Newfoundland and Labrador,0
751725678581441,Northwest Territories,0
751725678581441,Nova Scotia,0
751725678581441,Yukon,0
751725678581441,Quebec,0
751725678581441,Nunavut,0
444940019450618,Quebec,2.2E-5
444940019450618,Manitoba,0.000345
444940019450618,Ontario,0.999632
444940019450618,Saskatchewan,0
444940019450618,Prince Edward Island,0
444940019450618,New Brunswick,0
444940019450618,British Columbia,0
444940019450618,Alberta,0
444940019450618,Northwest Territories,0
444940019450618,Nova Scotia,0
444940019450618,Yukon,0
444940019450618,Newfoundland and Labrador,0
444940019450618,Nunavut,0
2655542984465367,New Brunswick,0.479977
2655542984465367,Nova Scotia,0.516421
2655542984465367,Prince Edward Island,0.003603
2655542984465367,Manitoba,0
2655542984465367,Saskatchewan,0
2655542984465367,British Columbia,0
2655542984465367,Ontario,0
2655542984465367,Alberta,0
2655542984465367,Northwest Territories,0
2655542984465367,Yukon,0
2655542984465367,Newfoundland and Labrador,0
2655542984465367,Quebec,0
2655542984465367,Nunavut,0
932627183749415,Ontario,1
932627183749415,Manitoba,0
932627183749415,Saskatchewan,0
932627183749415,Prince Edward Island,0
932627183749415,New Brunswick,0
932627183749415,Alberta,0
932627183749415,Newfoundland and Labrador,0
932627183749415,Northwest Territories,0
932627183749415,Nova Scotia,0
932627183749415,Yukon,0
932627183749415,British Columbia,0
932627183749415,Quebec,0
932627183749415,Nunavut,0
2290475941070159,Quebec,8.3E-5
2290475941070159,Prince Edward Island,0.00015
2290475941070159,Alberta,0.09711
2290475941070159,British Columbia,0.06671
2290475941070159,Manitoba,0.051993
2290475941070159,New Brunswick,0.186428
2290475941070159,Nova Scotia,0.037093
2290475941070159,Ontario,0.542303
2290475941070159,Saskatchewan,0.015333
2290475941070159,Yukon,0.001349
2290475941070159,Nunavut,0.001448
2290475941070159,Newfoundland and Labrador,0
2290475941070159,Northwest Territories,0
745275439258893,Prince Edward Island,9.0E-6
745275439258893,New Brunswick,9.0E-6
745275439258893,Newfoundland and Labrador,0.000445
745275439258893,Quebec,0.999523
745275439258893,Nunavut,1.4E-5
745275439258893,Manitoba,0
745275439258893,Saskatchewan,0
745275439258893,Ontario,0
745275439258893,Alberta,0
745275439258893,Northwest Territories,0
745275439258893,Nova Scotia,0
745275439258893,Yukon,0
745275439258893,British Columbia,0
729047437534455,New Brunswick,2.7E-5
729047437534455,Newfoundland and Labrador,0.001026
729047437534455,Ontario,8.2E-5
729047437534455,Quebec,0.997867
729047437534455,Nunavut,0.000998
729047437534455,Manitoba,0
729047437534455,Saskatchewan,0
729047437534455,Prince Edward Island,0
729047437534455,Alberta,0
729047437534455,Northwest Territories,0
729047437534455,Nova Scotia,0
729047437534455,Yukon,0
729047437534455,British Columbia,0
2494475297282310,British Columbia,1
2494475297282310,Manitoba,0
2494475297282310,Saskatchewan,0
2494475297282310,Prince Edward Island,0
2494475297282310,New Brunswick,0
2494475297282310,Ontario,0
2494475297282310,Alberta,0
2494475297282310,Newfoundland and Labrador,0
2494475297282310,Northwest Territories,0
2494475297282310,Nova Scotia,0
2494475297282310,Yukon,0
2494475297282310,Quebec,0
2494475297282310,Nunavut,0
384035465866633,British Columbia,0.005932
384035465866633,Manitoba,0.006448
384035465866633,Yukon,0.690438
384035465866633,Nunavut,0.297182
384035465866633,Saskatchewan,0
384035465866633,Prince Edward Island,0
384035465866633,New Brunswick,0
384035465866633,Ontario,0
384035465866633,Alberta,0
384035465866633,Northwest Territories,0
384035465866633,Nova Scotia,0
384035465866633,Newfoundland and Labrador,0
384035465866633,Quebec,0
499497303947161,Manitoba,1
499497303947161,Saskatchewan,0
499497303947161,Prince Edward Island,0
499497303947161,New Brunswick,0
499497303947161,Ontario,0
499497303947161,Alberta,0
499497303947161,Newfoundland and Labrador,0
499497303947161,Northwest Territories,0
499497303947161,Nova Scotia,0
499497303947161,Yukon,0
499497303947161,British Columbia,0
499497303947161,Quebec,0
499497303947161,Nunavut,0
1116983972025613,Ontario,1
1116983972025613,Manitoba,0
1116983972025613,Saskatchewan,0
1116983972025613,Prince Edward Island,0
1116983972025613,New Brunswick,0
1116983972025613,Alberta,0
1116983972025613,Newfoundland and Labrador,0
1116983972025613,Northwest Territories,0
1116983972025613,Nova Scotia,0
1116983972025613,Yukon,0
1116983972025613,British Columbia,0
1116983972025613,Quebec,0
1116983972025613,Nunavut,0
710611802685733,Unknown,0.000636
710611802685733,Quebec,0.999364
710611802685733,Manitoba,0
710611802685733,Saskatchewan,0
710611802685733,Prince Edward Island,0
710611802685733,New Brunswick,0
710611802685733,Ontario,0
710611802685733,Alberta,0
710611802685733,Newfoundland and Labrador,0
710611802685733,Northwest Territories,0
710611802685733,Nova Scotia,0
710611802685733,Yukon,0
710611802685733,British Columbia,0
710611802685733,Nunavut,0
384361582200955,Alberta,0.118141
384361582200955,British Columbia,0.148917
384361582200955,Manitoba,0.108574
384361582200955,New Brunswick,0.121119
384361582200955,Newfoundland and Labrador,0.000181
384361582200955,Nova Scotia,0.044585
384361582200955,Ontario,0.328339
384361582200955,Quebec,0.016155
384361582200955,Saskatchewan,0.113899
384361582200955,Nunavut,9.0E-5
384361582200955,Prince Edward Island,0
384361582200955,Northwest Territories,0
384361582200955,Yukon,0
501161053780414,Quebec,1
501161053780414,Manitoba,0
501161053780414,Saskatchewan,0
501161053780414,Prince Edward Island,0
501161053780414,New Brunswick,0
501161053780414,Ontario,0
501161053780414,Alberta,0
501161053780414,Newfoundland and Labrador,0
501161053780414,Northwest Territories,0
501161053780414,Nova Scotia,0
501161053780414,Yukon,0
501161053780414,British Columbia,0
501161053780414,Nunavut,0
739279486506657,Newfoundland and Labrador,0.000737
739279486506657,Quebec,0.998333
739279486506657,Nunavut,0.000914
739279486506657,New Brunswick,1.5E-5
739279486506657,Manitoba,0
739279486506657,Saskatchewan,0
739279486506657,Prince Edward Island,0
739279486506657,Ontario,0
739279486506657,Alberta,0
739279486506657,Northwest Territories,0
739279486506657,Nova Scotia,0
739279486506657,Yukon,0
739279486506657,British Columbia,0
387738945455245,New Brunswick,1.1E-5
387738945455245,Newfoundland and Labrador,0.000735
387738945455245,Quebec,0.999242
387738945455245,Nunavut,1.1E-5
387738945455245,Manitoba,0
387738945455245,Saskatchewan,0
387738945455245,Prince Edward Island,0
387738945455245,Ontario,0
387738945455245,Alberta,0
387738945455245,Northwest Territories,0
387738945455245,Nova Scotia,0
387738945455245,Yukon,0
387738945455245,British Columbia,0
395392727841743,Ontario,1
395392727841743,Manitoba,0
395392727841743,Saskatchewan,0
395392727841743,Prince Edward Island,0
395392727841743,New Brunswick,0
395392727841743,Alberta,0
395392727841743,Newfoundland and Labrador,0
395392727841743,Northwest Territories,0
395392727841743,Nova Scotia,0
395392727841743,Yukon,0
395392727841743,British Columbia,0
395392727841743,Quebec,0
395392727841743,Nunavut,0
761962707557442,Alberta,0.140882
761962707557442,British Columbia,0.171805
761962707557442,Manitoba,0.092608
761962707557442,New Brunswick,0.085528
761962707557442,Nova Scotia,0.020985
761962707557442,Ontario,0.348138
761962707557442,Quebec,0.002859
761962707557442,Saskatchewan,0.137182
761962707557442,Nunavut,1.3E-5
761962707557442,Newfoundland and Labrador,0
761962707557442,Prince Edward Island,0
761962707557442,Northwest Territories,0
761962707557442,Yukon,0
500247534096843,Nunavut,1.7E-5
500247534096843,Alberta,0.018573
500247534096843,British Columbia,0.011473
500247534096843,Manitoba,0.009295
500247534096843,New Brunswick,0.040765
500247534096843,Newfoundland and Labrador,0.000377
500247534096843,Nova Scotia,0.0006
500247534096843,Ontario,0.076796
500247534096843,Quebec,0.836066
500247534096843,Saskatchewan,0.006037
500247534096843,Prince Edward Island,0
500247534096843,Northwest Territories,0
500247534096843,Yukon,0
401555867221228,New Brunswick,1.0E-5
401555867221228,Newfoundland and Labrador,0.000241
401555867221228,Quebec,0.99973
401555867221228,Nunavut,1.9E-5
401555867221228,Manitoba,0
401555867221228,Saskatchewan,0
401555867221228,Prince Edward Island,0
401555867221228,Ontario,0
401555867221228,Alberta,0
401555867221228,Northwest Territories,0
401555867221228,Nova Scotia,0
401555867221228,Yukon,0
401555867221228,British Columbia,0
2372490472869331,Ontario,1
2372490472869331,Manitoba,0
2372490472869331,Saskatchewan,0
2372490472869331,Prince Edward Island,0
2372490472869331,New Brunswick,0
2372490472869331,Alberta,0
2372490472869331,Newfoundland and Labrador,0
2372490472869331,Northwest Territories,0
2372490472869331,Nova Scotia,0
2372490472869331,Yukon,0
2372490472869331,British Columbia,0
2372490472869331,Quebec,0
2372490472869331,Nunavut,0
756143884845573,Alberta,0.01963
756143884845573,British Columbia,0.010248
756143884845573,Manitoba,0.008246
756143884845573,New Brunswick,0.026144
756143884845573,Newfoundland and Labrador,0.000271
756143884845573,Nova Scotia,0.000496
756143884845573,Ontario,0.067913
756143884845573,Quebec,0.862451
756143884845573,Saskatchewan,0.004592
756143884845573,Nunavut,9.0E-6
756143884845573,Prince Edward Island,0
756143884845573,Northwest Territories,0
756143884845573,Yukon,0
2360334230875939,Prince Edward Island,8.0E-6
2360334230875939,Nunavut,8.0E-6
2360334230875939,Newfoundland and Labrador,8.0E-6
2360334230875939,Alberta,0.134878
2360334230875939,British Columbia,0.155415
2360334230875939,Manitoba,0.080027
2360334230875939,New Brunswick,0.059955
2360334230875939,Nova Scotia,0.014702
2360334230875939,Ontario,0.450387
2360334230875939,Quebec,0.010992
2360334230875939,Saskatchewan,0.093621
2360334230875939,Northwest Territories,0
2360334230875939,Yukon,0
355767395366676,Nunavut,0.000295
355767395366676,Alberta,0.246979
355767395366676,British Columbia,0.116711
355767395366676,Manitoba,0.055113
355767395366676,New Brunswick,0.027704
355767395366676,Newfoundland and Labrador,0.010021
355767395366676,Nova Scotia,0.032714
355767395366676,Ontario,0.35809
355767395366676,Prince Edward Island,0.007073
355767395366676,Quebec,0.03743
355767395366676,Saskatchewan,0.101385
355767395366676,Yukon,0.002358
355767395366676,Northwest Territories,0.004126
428853191064126,Alberta,0.26121
428853191064126,British Columbia,0.11952
428853191064126,Manitoba,0.050342
428853191064126,New Brunswick,0.025171
428853191064126,Newfoundland and Labrador,0.010502
428853191064126,Nova Scotia,0.029005
428853191064126,Ontario,0.355226
428853191064126,Prince Edward Island,0.006501
428853191064126,Quebec,0.036839
428853191064126,Saskatchewan,0.098683
428853191064126,Yukon,0.003667
428853191064126,Northwest Territories,0.002834
428853191064126,Nunavut,0.0005
506899243472500,Alberta,0.251516
506899243472500,British Columbia,0.123573
506899243472500,Manitoba,0.056259
506899243472500,New Brunswick,0.027282
506899243472500,Newfoundland and Labrador,0.008381
506899243472500,Nova Scotia,0.027639
506899243472500,Ontario,0.357614
506899243472500,Prince Edward Island,0.007311
506899243472500,Quebec,0.035931
506899243472500,Saskatchewan,0.09852
506899243472500,Yukon,0.002942
506899243472500,Northwest Territories,0.002229
506899243472500,Nunavut,0.000802
517013885713092,Alberta,0.252973
517013885713092,British Columbia,0.130833
517013885713092,Manitoba,0.049863
517013885713092,New Brunswick,0.02699
517013885713092,Newfoundland and Labrador,0.013266
517013885713092,Nova Scotia,0.029735
517013885713092,Ontario,0.361391
517013885713092,Prince Edward Island,0.005947
517013885713092,Quebec,0.037054
517013885713092,Saskatchewan,0.083257
517013885713092,Yukon,0.003202
517013885713092,Northwest Territories,0.004117
517013885713092,Nunavut,0.001372
2108731806100036,Nunavut,0.000467
2108731806100036,Yukon,0.000934
2108731806100036,Alberta,0.226891
2108731806100036,British Columbia,0.09944
2108731806100036,Manitoba,0.049486
2108731806100036,New Brunswick,0.028478
2108731806100036,Newfoundland and Labrador,0.012138
2108731806100036,Nova Scotia,0.037815
2108731806100036,Ontario,0.386555
2108731806100036,Prince Edward Island,0.009804
